单词,词构解释,词性1,意思1.1,中英解释1.1,词组1.1.1,例句1.1.1,词组1.1.2,例句1.1.2,词组1.1.3,例句1.1.3,词组1.1.4,例句1.1.4,意思1.2,中英解释1.2,词组1.2.1,例句1.2.1,词组1.2.2,例句1.2.2,词组1.2.3,例句1.2.3,词组1.2.4,例句1.2.4,意思1.3,中英解释1.3,词组1.3.1,例句1.3.1,词组1.3.2,例句1.3.2,词组1.3.3,例句1.3.3,词组1.3.4,例句1.3.4,意思1.4,中英解释1.4,词组1.4.1,例句1.4.1,词组1.4.2,例句1.4.2,词组1.4.3,例句1.4.3,词组1.4.4,例句1.4.4,意思1.5,中英解释1.5,词组1.5.1,例句1.5.1,词组1.5.2,例句1.5.2,词组1.5.3,例句1.5.3,词组1.5.4,例句1.5.4,词性2,意思2.1,中英解释2.1,词组2.1.1,例句2.1.1,词组2.1.2,例句2.1.2,词组2.1.3,例句2.1.3,词组2.1.4,例句2.1.4,意思2.2,中英解释2.2,词组2.2.1,例句2.2.1,词组2.2.2,例句2.2.2,词组2.2.3,例句2.2.3,词组2.2.4,例句2.2.4,意思2.3,中英解释2.3,词组2.3.1,例句2.3.1,词组2.3.2,例句2.3.2,词组2.3.3,例句2.3.3,词组2.3.4,例句2.3.4,意思2.4,中英解释2.4,词组2.4.1,例句2.4.1,词组2.4.2,例句2.4.2,词组2.4.3,例句2.4.3,词组2.4.4,例句2.4.4,意思2.5,中英解释2.5,词组2.5.1,例句2.5.1,词组2.5.2,例句2.5.2,词组2.5.3,例句2.5.3,词组2.5.4,例句2.5.4,词性3,意思3.1,中英解释3.1,词组3.1.1,例句3.1.1,词组3.1.2,例句3.1.2,词组3.1.3,例句3.1.3,词组3.1.4,例句3.1.4,意思3.2,中英解释3.2,词组3.2.1,例句3.2.1,词组3.2.2,例句3.2.2,词组3.2.3,例句3.2.3,词组3.2.4,例句3.2.4,意思3.3,中英解释3.3,词组3.3.1,例句3.3.1,词组3.3.2,例句3.3.2,词组3.3.3,例句3.3.3,词组3.3.4,例句3.3.4,意思3.4,中英解释3.4,词组3.4.1,例句3.4.1,词组3.4.2,例句3.4.2,词组3.4.3,例句3.4.3,词组3.4.4,例句3.4.4,意思3.5,中英解释3.5,词组3.5.1,例句3.5.1,词组3.5.2,例句3.5.2,词组3.5.3,例句3.5.3,词组3.5.4,例句3.5.4,词型变化,单词比较,共性,差异
neatly,,adv,整洁地；整齐地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specific ,,adj,[常用于名词前]特有的；特定的 ,(particular):,,"When scanning a text, you read it quickly in order to find a specific piece of information. 浏览一篇文章时，你要快速地阅读以找到特定的信息。
",,The disease seems to be specific to (= only found in) certain types of plant. 这种疾病只有一些特定的植物会得,,,,,明确的; 详细的   , detailed and exact (precise):,a specific goal / answer 明确的目标/答案,"In this article, you need to back up general statements with specific examples, 在这篇文章中，你得用具体的实例来支撑自己的概括性陈述。                                  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specifically ,specific + -al+-ly(副词后缀), adv ,特定地;明确地 ,,advertising that specifically targets children 专门针对儿童 的广告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refer ,,vi & vt  ,谈到; 提到, to mention or speak about sb / sth: —> 在演讲、说话时“联系′ 到某人/某物,refer (...) to         ,,,The scientist referred to global warming at least three times in his speech. 那位科学家在演讲中至少3 次提到了全球气候变暖。,,The Pritzker Architecture Prize is often referred to as the Nobel Prize in architecture. 普利兹克建筑奖通常被称为建筑界的诺贝尔奖。,,,查阅; 参考," to look at sth or ask sb for information (consult): => 为获取信息""联系 某物/某人","refer to a dictionary to check the spelling 查一下词典看看拼写是否正确
",,,"While giving the English speech, one is not allowed to refer to the notes. 做英语演讲时，参赛选手不得看讲稿",,,,,指的是 , to describe or be connected to sb /sth: => 描述人或事物的“联系,,"n its broadest sense, comfort food refers to any food that makes us feel better. 从广义上讲，治愈系事物指的是任何能让我们感觉更好的事物。",,,,,,,把……送交给,和专业人士等‘联系’,,"my college said that as the situation was unusual he would refaer tha matter to his editor.
我同事说由于情况非同寻常，他会把这个问题交给他的编辑处理。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference,refer + -ence (名词后缀),n ,[C]& [U] 提及; 涉及:,,in / with reference to 关于; 根据……而论:,,,"In reference to your question about cost, the tickets for the film are 35 yuan each. 关于你询问的价格，那部电影的票价是每张 35 元。
",,Avoid making any reference to his illness. 千万别提起他的病。,,,[U] 查阅; 参考:,You’d better write down the phone number of that restaurant for future reference. 你最好把那家餐馆的电话号码写下来，以便将来查看。,reference books 参考书,,,,,,,,[C] 推荐信; 推荐人,,,,,,,,,,lc| 参考书目:,,A list of references must be included. 必须包括参考书目。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
referee ,,n,[C] 裁判员; 仲裁人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal ,,n, [C]日志; 日记,,keep a journal 记日记   ,,,,,,,, ( 某学科或行业的 ) 期刊; 杂志; 报纸: ,,a scientific / medical journal 科学期刊 /医学杂志  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entry,,n  ,[C] & [U] 进入; 入场; 进入权: , “进入”的动作或权利   ,,No Entry. 禁止入内。 ,,"Thieves had forced an entry into the building. 窃贼闯进了那座大楼
Entry to the museum is free. 这座博物馆免费参观。",,,,,[C] 入口处; 门口:    ,‘进入’某地需要经过的门或通道,,"You can leave your umbrella in the entry. 你可以把伞放在入口处。
",,,,,,,C] 记载; 条目; 项目,“进入′书等需要查看的信息,"a journal / blog entry 日志/博客文章
",,,A pocket dictionary doesn‘t contain enough entries. 袖珍词典没有足够多的词条。,,,,,[C] 参加比赛的人/物: ,’进入‘比赛的人或作品,,This painting is my entry for the art competition. 这幅画是我参加绘画比赛的作品。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
junior,,adj,[ 只用于名词前 ] 青少年的; 初级的 [反senior|; （四年制大学）三年级（学生）的；,,"a junior school (英国7至11 岁的孩子上的 ) 小学
",,"a junior high school (美国) 初级中学
",,,"She is 4 years junior to me. 她比我小四岁。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,[C] 青少年; 职位较低者; ( 四年制大学中 ) 三年级学生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Struggle,,vi  ,搏斗; 争斗,  与人’搏斗‘,,Do not struggle with the thief: you may injure yourself in the process. 不可与盗贼相争，在争斗中你可能会伤到自己。  ,,,,,,,艰难地行进, to move somewhere with great difficulty; —» 为到达某地“博斗,struggle through the snowstorm 冒着暴风雪前进                                                                ,,,"Tina struggled up the stairs with a heavy suitcase. 蒂娜吃力地提着沉重的手提箱上了楼。
",,,,,奋斗; 努力 , to try very hard to achieve sth difficult: —>为完成某事’搏斗‘,a struggling artist 苦苦挣扎的艺术家                                                                       ,, struggle with / against:, The teacher found I was struggling with note-taking and told me to stop and just listen. 老师发现我在拼命地记笔记，叫我别记了，停下来听讲。,struggle for / to do sth:,He struggled for the right words to say. 他绞尽脑汁想找个合适的词来表达。,,Many of the families were struggling to make ends meet. 许多家庭都在努力维持生计。,,,,,,,,,,,,,,,,,,,,,n, icl 搏斗; 争斗:,,,He died in a struggle with the attackers. 他在一次与袭击者的搏斗中死亡。,,,,,,,[单数 ] 难事:,,,It was a struggle for her to make him understand. 让他理解对她来说真是件难事。,,,,,,,奋斗; 努力:,,,Never give up without a struggle. 未经努力不要放弃。,,The struggle for freedom was long and hard. 争取自由的斗争是漫长且艰难的。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thinking,,n,(U] 思想; 思考; 见解,think +-ing (名词后缀）,different ways of thinking 不同的思考方式,,独creative / independent thinking 创造性/立性思维,,,What's your thinking on this question? 你对此事有何见解?                                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memorise / memorize ,     memory （记忆) +-se （使……)     ,vt; ,  记住；熟记,,, Thinking is a more important ability than note-taking and memorising. 思考是比记笔记和记忆更重要的能力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memorisation / memorization ,,n, [U] 记忆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skateboarding,skateboard + -ing (名词后缀),n ,[U] 滑板运动 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skateboard ,skate (v 滑冰) + board (板),n,[c]滑板 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vi ,用滑板滑行    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
